Vmeas,Imeas,Jmeas (mA/cm2),name,substrate,position,batch
-0.1,0.00172337,22.381428571428568,A1-3-D,3,D,1
-0.087,0.00172295,22.375974025974024,A1-3-D,3,D,1
-0.074,0.00172338,22.381558441558443,A1-3-D,3,D,1
-0.061,0.001723,22.376623376623378,A1-3-D,3,D,1
-0.048,0.00172284,22.374545454545455,A1-3-D,3,D,1
-0.035,0.00172242,22.369090909090907,A1-3-D,3,D,1
-0.022,0.00172257,22.371038961038963,A1-3-D,3,D,1
-0.009,0.00172225,22.36688311688312,A1-3-D,3,D,1
0.004,0.00172284,22.374545454545455,A1-3-D,3,D,1
0.017,0.00172178,22.36077922077922,A1-3-D,3,D,1
0.03,0.00172173,22.36012987012987,A1-3-D,3,D,1
0.043,0.00172169,22.35961038961039,A1-3-D,3,D,1
0.056,0.00172093,22.349740259740262,A1-3-D,3,D,1
0.069,0.00172006,22.33844155844156,A1-3-D,3,D,1
0.082,0.00171966,22.333246753246755,A1-3-D,3,D,1
0.095,0.00171985,22.335714285714285,A1-3-D,3,D,1
0.108,0.0017191,22.325974025974027,A1-3-D,3,D,1
0.121,0.00171877,22.321688311688312,A1-3-D,3,D,1
0.134,0.00171778,22.30883116883117,A1-3-D,3,D,1
0.147,0.00171716,22.30077922077922,A1-3-D,3,D,1
0.16,0.00171725,22.301948051948052,A1-3-D,3,D,1
0.173,0.00171638,22.290649350649353,A1-3-D,3,D,1
0.186,0.00171563,22.280909090909095,A1-3-D,3,D,1
0.199,0.00171511,22.274155844155842,A1-3-D,3,D,1
0.212,0.00171455,22.26688311688312,A1-3-D,3,D,1
0.225,0.00171381,22.25727272727273,A1-3-D,3,D,1
0.238,0.00171277,22.243766233766234,A1-3-D,3,D,1
0.251,0.00171213,22.235454545454548,A1-3-D,3,D,1
0.264,0.0017114,22.22597402597403,A1-3-D,3,D,1
0.277,0.00171079,22.218051948051947,A1-3-D,3,D,1
0.29,0.00170929,22.19857142857143,A1-3-D,3,D,1
0.303,0.00170882,22.192467532467532,A1-3-D,3,D,1
0.316,0.00170796,22.1812987012987,A1-3-D,3,D,1
0.329,0.00170738,22.173766233766237,A1-3-D,3,D,1
0.342,0.00170591,22.154675324675324,A1-3-D,3,D,1
0.355,0.00170486,22.141038961038962,A1-3-D,3,D,1
0.368,0.00170374,22.126493506493507,A1-3-D,3,D,1
0.381,0.0017025,22.11038961038961,A1-3-D,3,D,1
0.394,0.00170135,22.095454545454544,A1-3-D,3,D,1
0.407,0.00170023,22.080909090909092,A1-3-D,3,D,1
0.42,0.00169861,22.05987012987013,A1-3-D,3,D,1
0.433,0.00169715,22.04090909090909,A1-3-D,3,D,1
0.446,0.00169485,22.01103896103896,A1-3-D,3,D,1
0.459,0.00169323,21.99,A1-3-D,3,D,1
0.472,0.00169162,21.96909090909091,A1-3-D,3,D,1
0.485,0.00169089,21.95961038961039,A1-3-D,3,D,1
0.498,0.00168782,21.919740259740262,A1-3-D,3,D,1
0.511,0.00168558,21.89064935064935,A1-3-D,3,D,1
0.524,0.00168347,21.863246753246756,A1-3-D,3,D,1
0.537,0.00168068,21.827012987012985,A1-3-D,3,D,1
0.55,0.00167829,21.79597402597403,A1-3-D,3,D,1
0.563,0.00167505,21.753896103896107,A1-3-D,3,D,1
0.576,0.00167176,21.71116883116883,A1-3-D,3,D,1
0.589,0.00166826,21.665714285714284,A1-3-D,3,D,1
0.602,0.0016654,21.62857142857143,A1-3-D,3,D,1
0.615,0.00166115,21.573376623376625,A1-3-D,3,D,1
0.628,0.0016569,21.51818181818182,A1-3-D,3,D,1
0.641,0.00165183,21.452337662337662,A1-3-D,3,D,1
0.654,0.00164591,21.375454545454545,A1-3-D,3,D,1
0.667,0.0016409,21.310389610389613,A1-3-D,3,D,1
0.68,0.0016349,21.23246753246753,A1-3-D,3,D,1
0.693,0.0016271,21.131168831168832,A1-3-D,3,D,1
0.706,0.00161942,21.031428571428574,A1-3-D,3,D,1
0.719,0.001611,20.92207792207792,A1-3-D,3,D,1
0.732,0.00160179,20.802467532467535,A1-3-D,3,D,1
0.745,0.00159156,20.669610389610387,A1-3-D,3,D,1
0.758,0.00158,20.51948051948052,A1-3-D,3,D,1
0.771,0.00156755,20.357792207792208,A1-3-D,3,D,1
0.784,0.00155387,20.180129870129868,A1-3-D,3,D,1
0.797,0.00153833,19.978311688311692,A1-3-D,3,D,1
0.81,0.00152105,19.753896103896103,A1-3-D,3,D,1
0.823,0.00150159,19.50116883116883,A1-3-D,3,D,1
0.836,0.00148055,19.227922077922077,A1-3-D,3,D,1
0.849,0.00145634,18.913506493506492,A1-3-D,3,D,1
0.862,0.00142975,18.56818181818182,A1-3-D,3,D,1
0.875,0.00140006,18.182597402597406,A1-3-D,3,D,1
0.888,0.001367,17.753246753246753,A1-3-D,3,D,1
0.901,0.0013301,17.274025974025978,A1-3-D,3,D,1
0.914,0.00129051,16.759870129870126,A1-3-D,3,D,1
0.927,0.00124484,16.16675324675325,A1-3-D,3,D,1
0.94,0.00119508,15.520519480519482,A1-3-D,3,D,1
0.953,0.00114032,14.80935064935065,A1-3-D,3,D,1
0.966,0.00108065,14.034415584415585,A1-3-D,3,D,1
0.979,0.00101513,13.183506493506494,A1-3-D,3,D,1
0.992,0.0009758,12.672727272727274,A1-3-D,3,D,1
1.005,0.00089487,11.621688311688311,A1-3-D,3,D,1
1.018,0.00080888,10.504935064935065,A1-3-D,3,D,1
1.031,0.00071754,9.3187012987013,A1-3-D,3,D,1
1.044,0.00062058,8.05948051948052,A1-3-D,3,D,1
1.057,0.00051744,6.72,A1-3-D,3,D,1
1.07,0.0004084,5.303896103896104,A1-3-D,3,D,1
1.083,0.00029354,3.8122077922077926,A1-3-D,3,D,1
1.096,0.00017289,2.2453246753246754,A1-3-D,3,D,1
1.109,6.575e-05,0.8538961038961039,A1-3-D,3,D,1
1.122,-6.959e-05,-0.9037662337662338,A1-3-D,3,D,1
1.135,-0.00018184,-2.361558441558442,A1-3-D,3,D,1
1.148,-0.00033097,-4.298311688311688,A1-3-D,3,D,1
1.161,-0.00048411,-6.287142857142857,A1-3-D,3,D,1
1.174,-0.00064137,-8.32948051948052,A1-3-D,3,D,1
1.187,-0.00080266,-10.424155844155843,A1-3-D,3,D,1
1.2,-0.00096753,-12.565324675324675,A1-3-D,3,D,1
-0.1,0.00170521,22.145584415584416,A1-3-E,3,E,1
-0.087,0.00170265,22.112337662337662,A1-3-E,3,E,1
-0.074,0.0017002,22.08051948051948,A1-3-E,3,E,1
-0.061,0.00169795,22.051298701298702,A1-3-E,3,E,1
-0.048,0.0016957,22.022077922077923,A1-3-E,3,E,1
-0.035,0.00169346,21.99298701298701,A1-3-E,3,E,1
-0.022,0.00169184,21.97194805194805,A1-3-E,3,E,1
-0.009,0.00168977,21.945064935064934,A1-3-E,3,E,1
0.004,0.00168856,21.92935064935065,A1-3-E,3,E,1
0.017,0.00168493,21.882207792207794,A1-3-E,3,E,1
0.03,0.00168227,21.84766233766234,A1-3-E,3,E,1
0.043,0.00167979,21.815454545454546,A1-3-E,3,E,1
0.056,0.00167703,21.77961038961039,A1-3-E,3,E,1
0.069,0.00167452,21.747012987012987,A1-3-E,3,E,1
0.082,0.00167137,21.706103896103897,A1-3-E,3,E,1
0.095,0.00166793,21.661428571428573,A1-3-E,3,E,1
0.108,0.00166405,21.61103896103896,A1-3-E,3,E,1
0.121,0.00165994,21.557662337662336,A1-3-E,3,E,1
0.134,0.00165585,21.504545454545454,A1-3-E,3,E,1
0.147,0.00165132,21.44571428571429,A1-3-E,3,E,1
0.16,0.00164636,21.3812987012987,A1-3-E,3,E,1
0.173,0.00164117,21.313896103896102,A1-3-E,3,E,1
0.186,0.00163653,21.253636363636364,A1-3-E,3,E,1
0.199,0.00163021,21.171558441558442,A1-3-E,3,E,1
0.212,0.00162462,21.09896103896104,A1-3-E,3,E,1
0.225,0.00161865,21.02142857142857,A1-3-E,3,E,1
0.238,0.00161235,20.93961038961039,A1-3-E,3,E,1
0.251,0.00160577,20.854155844155844,A1-3-E,3,E,1
0.264,0.00159921,20.768961038961038,A1-3-E,3,E,1
0.277,0.00159269,20.684285714285714,A1-3-E,3,E,1
0.29,0.00158477,20.581428571428575,A1-3-E,3,E,1
0.303,0.00157754,20.48753246753247,A1-3-E,3,E,1
0.316,0.00156899,20.376493506493507,A1-3-E,3,E,1
0.329,0.00156036,20.264415584415588,A1-3-E,3,E,1
